"MEASURE - Absolute value in thousands"

YEAR,"1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ESCAP: High-income economies (World Bank)",115527.584,117682.069,119782.948,121865.934,123956.185,126068.556,128206.723,130363.911,132524.61,134667.441,136773.734,138836.815,140870.055,142910.253,145007.889,147198.382,149487.79,151861.559,154307.936,156807.207,159339.53,161907.352,164499.677,167066.123,169542.057,171881.908,174060.351,176089.204,178006.246,179869.436,181720.28,183572.492,185443.278,187247.538,188981.08,190620.624,192158.803,193609.365,194995.414,196350.01,197696.915,199042.808,200380.531,201702.417,202995.532,204249.432,205467.92,206652.772,207789.485,208858.943,209850.128,210753.308,211578.749,212360.309,213144.468,213964.132,214828.681,215725.482,216636.878,217535.394,218398.428,219222.84,220007.691,220735.217,221384.433,221940.244,222394.562,222749.687,223013.905,223201.439,223323.572,223382.138,223376.52,223312.778,223197.999,223037.725,222835.637,222593.242,222310.933,221987.919,221623.926,221220.963,220780.89,220303.105,219786.34,219230.357,218635.822,218005.046,217341.503,216649.334,215932.192,215191.751,214429.193,213647.13,212848.485,212035.279,211209.158,210370.643,209519.486,208654.696,207775.667
"ESCWA (Economic and Social Commission for Western Asia)",55301.952,56664.518,58090.44,59576.32,61119.92,62720.453,64378.413,66095.60400000001,67874.93399999999,69719.962,71633.947,73618.704,75673.44500000001,77794.50599999999,79976.51700000001,82215.96400000001,84515.167,86877.265,89301.18700000001,91785.481,94331.285,96940.943,99622.29300000001,102389.516,105260.581,108250.804,111359.211,114588.918,117963.803,121513.28,125254.434,129197.951,133327.468,137598.923,141951.368,146338.599,150739.366,155157.739,159602.831,164094.189,168643.024,173257.174,177921.419,182597.632,187234.93,191801.352,196291.717,200731.828,205160.654,209632.907,214196.555,218846.054,223592.332,228517.828,233726.118,239282.373,245221.135,251497.918,257998.427,264561.341,271063.327,277475.846,283814.048,290052.082,296172.058,302167.764,308002.268,313685.525,319316.463,325032.744,330927.747,337041.66,343329.648,349695.544,355999.239,362138.511,368085.055,373867.245,379507.67,385048.857,390524.062,395932.584,401266.939,406547.53,411799.474,417040.73,422279.44,427512.309,432730.741,437920.25,443068.861,448174.373,453236.653,458247.712,463198.491,468081.313,472891.531,477626.518,482283.765,486861.777,491358.877
"ESCWA: Arab countries",74875.832,76608.14,78426.351,80330.94100000001,82322.277,84400.787,86566.75599999999,88820.414,91162.023,93591.682,96109.75,98716.901,101414.056,104202.651,107084.42,110060.963,113142.951,116333.479,119618.811,122979.137,126406.269,129886.937,133442.611,137141.452,141074.923,145305.997,149858.688,154706.508,159799.237,165061.388,170434.091,175899.646,181462.185,187110.047,192835.565,198630.609,204484.288,210384.515,216321.333,222285.372,228269.188,234274.005,240298.322,246330.336,252355.779,258369.391,264377.398,270399.308,276461.766,282599.13,288845.393,295192.068,301658.215,308336.433,315344.894,322759.267,330616.258,338867.859,347397.582,356040.022,364667.94,373254.209,371699.216,379953.29,388155.071,396287.369,404311.448,412235.252,420145.88,428166.389,436378.875,444817.79,453437.121,462139.856,470786.997,479277.188,487580.509,495723.862,503731.414,511648.07,519509.199,527314.466,535056.637,542758.02,550446.067,558140.487,565849.953,573571.1800000001,581296.0500000001,589010.382,596702.1530000001,604368.745,612009.188,619614.068,627172.578,634675.215,642116.069,649490.825,656793.877,664020.108,671164.643
"ESCWA: Mashreq",32332.357,33167.156,34030.879,34928.715,35864.366,36840.129,37856.744,38913.625,40008.891,41139.72,42303.513,43498.829,44726.423,45989.543,47292.943,48639.313,50030.655,51464.084,52931.55,54422.019,55927.752,57448.177,58986.665,60545.055,62126.453,63734.894,65369.271,67033.516,68742.957,70517.394,72370.829,74310.44100000001,76332.616,78427.2,80578.408,82774.746,85010.545,87289.12300000001,89618.236,92009.65700000001,94470.124,97002.602,99598.697,102239.904,104901.327,107564.75,110224.898,112886.123,115552.29,118231.028,120929.275,123645.63,126381.474,129150.101,131968.676,134849.389,137794.779,140800.719,143863.767,146977.787,150135.999,153350.904,156620.268,159905.708,163155.83,166340.643,169427.481,172443.494,175489.976,178706.825,182187.561,185974.311,190017.716,194207.448,198384.445,202432.559,206316.835,210067.796,213714.321,217309.413,220893.637,224466.893,228017.191,231560.807,235116.893,238698.812,242313.694,245958.442,249622.918,253290.96,256949.734,260595.815,264229.512,267845.56,271438.783,275004.45,278539.163,282039.944,285503.005,288924.839,292302.607
"ESCWA: Maghreb",22588.067,23105.811,23651.948,24227.287,24832.038,25465.837,26127.586,26815.513,27527.398,28260.684,29013.046,29783.14,30571.01,31378.467,32208.264,33062.291,33942.661,34848.452,35774.977,36715.769,37667.056,38627.568,39601.704,40598.448,41630.04,42705.924,43825.815,44988.583,46201.299,47472.223,48805.167,50203.017,51657.887,53148.977,54648.196,56133.989,57595.175,59031.992,60447.848,61850.962,63245.505,64632.971,66004.491,67341.789,68621.037,69826.239,70953.395,72010.67999999999,73009.833,73968.41800000001,74902.14999999999,75815,76712.23299999999,77612.87,78539.78999999999,79510.67600000001,80533.781,81610.16099999999,82740.576,83922.647,85153.747,86432.60799999999,87758.541,89129.139,90541.28,91989.894,93473.77400000001,94984.592,96501.272,97996.99400000001,99451.50599999999,100855.715,102210.303,103517.255,104782.82,106011.875,107203.589,108355.941,109471.897,110555.446,111610.21,112637.688,113639.466,114619.435,115582.149,116531.243,117468.341,118394.285,119310.396,120217.837,121117.105,122008.647,122891.84,123764.952,124625.436,125470.911,126300.33,127112.32,127903.78,128671.012,129410.899
"ESCWA: Arab LDCs",16014.343,16304.306,16609.084,16928.34,17261.924,17609.916,17972.644,18350.6,18744.555,19155.277,19583.667,20030.481,20496.144,20980.854,21484.62,22007.771,22557.492,23136.412,23735.481,24341.723,24950.147,25545.767,26142.342,26797.07,27587.184,28562.781,29751.986,31124.502,32600.363,34066.18,35440.545,36695.799,37857.076,38960.471,40064.434,41212.706,42413.316,43654.289,44936.321,46256.078,47611.626,49006.404,50445.375,51929.807,53460.209,55037.194,56661.44,58333.743,60054.885,61825.558,63645.888,65515.275,67432.554,69396.59699999999,71405.965,73458.788,75553.67200000001,77687.991,79856.93700000001,82054.671,84276.216,86523.15700000001,78681,80725.682,82813.707,84935.77,87089.52400000001,89277.946,91502.997,93768.211,96075.713,98425.253,100814.177,103239.308,105696.482,108182.311,110694.842,113233.419,115797.234,118385.821,120998.467,123633.879,126290.313,128965.992,131659.05,134367.679,137090.579,139826.436,142573.656,145330.539,148095.637,150867.475,153645.125,156427.829,159215.169,162006.556,164800.925,167597.15,170394.241,173191.311,175987.279
"EU15 (European Union 1995 … 2004)",298179.653,299662.901,301313.706,303063.684,304867.486,306702.585,308570.906,310497.307,312525.379,314710.41,317098.613,319704.573,322491.789,325364.073,328189.72,330870.911,333367.292,335694.945,337881.807,339979.606,342024.291,344020.325,345945.089,347776.291,349482.987,351044.208,352460.99,353746.213,354907.055,355954.321,356902.289,357753.215,358523.904,359261.342,360025.405,360861.191,361780.11,362778.533,363866.744,365051.049,366329.902,367734.279,369252.833,370790.921,372219.783,373457.307,374448.575,375247.212,376011.562,376964.182,378259.722,379950.819,381972.842,384218.28,386524.962,388769.039,390923.438,393007.834,395000.929,396889.163,398664.033,400297.342,401783.746,403167.921,404515.018,405867.73,407249.206,408632.791,409951.364,411110.987,412047.017,412735.737,413207.382,413517.895,413749.474,413963.718,414178.232,414380.642,414567.355,414725.857,414846.934,414934.087,414994.343,415025.358,415023.164,414984.559,414908.652,414794.999,414641.518,414445.792,414205.722,413920.574,413589.436,413209.974,412779.634,412296.731,411761.195,411174.029,410536.197,409849.371,409115.31
"EU25 (European Union 2004 … 2007)",345486.59,347757.044,350193.145,352714.649,355267.102,357821.492,360376.089,362954.742,365602.411,368377.633,371330.014,374476.031,377778.138,381135.393,384409.502,387499.647,390363.827,393024.756,395526.141,397940.722,400320.328,402672.876,404973.627,407202.917,409331.098,411188.341,413062.616,414830.149,416478.945,417997.48,419382.646,420632.666,421761.148,422815.453,423862.457,424947.049,426077.685,427251.194,428489.03,429814.498,431238.431,432795.999,444304.599,445895.983,447348.781,448585.89,449556.264,450314.938,451019.59,451891.551,453085.987,454654.234,456536.801,458640.538,460822.449,462971.128,465068.28,467129.978,469117.499,470991.348,472723.761,474279.813,475652.657,476892.287,478090.161,479314.033,480594.448,481894.465,483138.93,484221.603,485069.055,485656.796,486016.235,486202.075,486295.591,486357.789,486405.449,486425.64,486415.159,486362.209,486258.386,486107.323,485916.615,485685.479,485411.805,485094,484732.132,484326.316,483875.726,483379.041,482835.23,482244.206,481605.548,480917.45,480177.734,479384.885,478539.141,477641.562,476693.029,475694.98,474648.881
"EU27 (European Union 2007 … 2013)",368973.875,371580.246,374330.072,377155.054,380008.864,382866.914,385727.917,388612.347,391558.738,394617.087,397829.566,401209.713,404724.447,408286.03,411774.475,415101.81,418230.608,421178.862,423982.129,426700.654,429376.781,432015.466,434593.434,437091.246,439480.677,441592.367,443714.249,445719.944,447592.48,449313.997,450877.077,452274.972,453522.403,454675.871,455815.328,456993.66,458225.295,459500.136,460819.421,462178.452,463569.053,465019.645,476356.806,477728.984,478939.417,479929.942,480653.939,481164.342,481623.55,482256.678,483221.361,484574.288,486256.321,488165.247,490144.969,492075.379,493933.612,495740.849,497471.104,499102.852,500620.632,501995.183,503214.131,504315.159,505371.737,506438.954,507542.676,508650.883,509696.65,510586.278,511255.182,511681.223,511892.156,511938.434,511894.742,511817.168,511721.441,511595.868,511437.461,511235.192,510981.226,510678.99,510335.609,509950.646,509522.431,509049.796,508532.876,507971.82,507365.929,506713.997,506015.127,505269.297,504476.13,503633.851,502740.297,501793.982,500795.133,499744.793,498643.677,497493.003,496294.109
"EU28 (European Union 2013 … 2020)",368973.875,371580.246,374330.072,377155.054,380008.864,382866.914,385727.917,388612.347,391558.738,394617.087,397829.566,401209.713,404724.447,408286.03,411774.475,415101.81,418230.608,421178.862,423982.129,426700.654,429376.781,432015.466,434593.434,437091.246,439480.677,441592.367,443714.249,445719.944,447592.48,449313.997,450877.077,452274.972,453522.403,454675.871,455815.328,456993.66,458225.295,459500.136,460819.421,462178.452,463569.053,465019.645,481089.672,482426.521,483597.217,484546.705,485228.827,485696.747,486115.456,486713.124,487649.436,488982.361,490652.123,492554.156,494528.846,496453.445,498304.394,500103.276,501823.743,503444.113,504948.795,506308.281,507510,508591.752,509627.255,510671.828,511751.287,512833.729,513853.057,514716.577,515360.45,515762.88,515951.441,515976.125,515910.877,515811.247,515692.837,515544.119,515362.216,515136.244,514858.493,514532.39,514164.985,513755.826,513303.176,512805.862,512264.01,511677.786,511046.499,510368.971,509644.316,508872.537,508053.254,507184.709,506264.778,505292.016,504266.643,503189.735,502061.972,500884.592,499658.908
"European Union (2020 …)",318200.368,320820.127,323520.287,326245.542,328959.623,331644.988,334304.362,336959.245,339646.79,342414.02,345301.108,348323.266,351455.162,354623.918,357728.551,360695.821,363494.46,366142.747,368677.549,371158.351,373626.695,376088.175,378520.245,380902.315,383204.265,385254.14,387338.619,389327.825,391196.915,392918.193,394476.163,395861.47,397087.254,398204.23,399286.169,400382.028,401502.348,402638.638,403800.49,404995.32,406223.707,407516.456,423430.363,424610.404,425619.306,426398.642,426898.041,427170.189,427384.048,427773.716,428500.75,429631.28,431097.92,432763.779,434425.849,435933.525,437248.763,438411.072,439438.689,440372.927,441244.42,442040.48,442738.115,443360.713,443956.612,444563.06,445203.125,445853.99,446456.81,446929.563,447215.555,447295.112,447191.33,446946.603,446624.116,446271.342,445901.107,445503.148,445075.595,444609.895,444100.023,443548.869,442962.085,442339.148,441678.3,440978.279,440239.204,439460.963,438642.045,437780.178,436873.776,435922.601,434926.603,433884.595,432795.347,431658.137,430473.286,429241.97,427965.693,426646.601,425286.751
"Euro area",236933.968,238333.237,239849.593,241424.889,243021.267,244620.748,246226.994,247863.682,249571.051,251399.685,253392.426,255564.732,257887.809,260281.045,262632.993,264861.993,266933.587,268864.936,270689.104,272461.98,274222.223,275976.701,277702.743,279374.421,280954.959,282270.038,283602.17,284829.275,285951.006,286972.472,287901.633,288740.584,289496.676,290205.696,290917.79,291665.405,292454.7,293285.043,294176.007,295149.938,296217.933,297411.087,308548.641,315123.256,316253.282,317202.557,317919.016,318450.147,318949.903,319633.588,320647.885,322053.237,323780.907,325689.461,327572.567,329277.816,330763.473,332069.881,333224.361,334281.17,335280.702,336213.302,337054.348,337826.585,338575.992,339338.23,340137.881,340953.524,341724.156,342364.657,342816.75,343059.852,343119.387,343043.076,342901.297,342746.828,342594.225,342432.443,342258.983,342064.016,341840.219,341590.423,341320.101,341026.883,340706.687,340356.107,339974.322,339560.492,339111.668,338624.128,338094.982,337523.18,336908.108,336248.029,335541.292,334786.853,333984.799,333136.15,332242.708,331307.085,330331.758
"G20 (Group of Twenty)",1972800.589,2008898.054,2043552.51,2077449.234,2111153.653,2145111.277,2179643.241,2214950.551,2251128.122,2288187.337,2326124.225,2364992.325,2404966.243,2446369.207,2489595.499,2534882.903,2582319.198,2631699.66,2682588.427,2734375.187,2786556.069,2839054.671,2891812.945,2944374.478,2996204.542,3046804.508,3096247.63,3144561.328,3192243.154,3240021.798,3288459.985,3337530.632,3387138.04,3437689.048,3489673.157,3543328.347,3598931.767,3656112.877,3713659.696,3769921.337,3823706.93,3874564.431,3795838.166,3841509.518,3886065.436,3930122.304,3973795.186,4016918.014,4059508.137,4101531.789,4142983.375,4183889.356,4224347.825,4263553.612,4303549.403,4343530.039,4383539.528,4423526.425,4463385.754,4502959.201,4542109.474,4580769.962,4618893.671,4656392.773,4693190.834,4729211.455,4764429.811,4798758.064,4831991.465,4863880.736,4894251.842,4923008.369,4950195.692,4975966.588000001,5000555.425,5024138.664,5046749.857,5068348.94,5088952.195,5108562.063,5127176.406,5144820.582,5161496.136,5177144.474,5191682.851,5205052.982,5217240.812,5228268.626,5238160.553,5246955.175,5254685.644,5261364.511,5266998.833,5271611.64,5275228.72,5277874.665,5279571.152,5280337.807,5280194.349,5279160.203,5277255.893
"G7 (Group of Seven)",467497.645,472347.677,477495.091,482853.348,488354.575,493949.419,499608.111,505319.446,511088.011,516929.436,522856.476,528863.946,534915.567,540938.355,546838.711,552549,558030.382,563295.025,568389.7070000001,573388.415,578342.016,583270.72,588148.1,592923.2830000001,597523.703,601901.404,606045.6040000001,609987.24,613772.244,617465.9030000001,621121.593,624753.716,628367.059,631993.964,635669.721,639420.102,643262.99,647198.896,651213.7780000001,655282.7,659386.514,663521.418,667691.181,671891.627,676118.9889999999,680368.792,684640.4,688928.559,693219.759,697497.103,701749.405,705962.691,710140.244,714308.5870000001,718505.494,722754.2290000001,727057.667,731393.845,735730.297,740022.247,744232.022,748346.768,752357.857,756237.4300000001,759954.514,763485.286,766821.3860000001,769960.652,772894.939,775618.6,778132.144,780430.063,782525.438,784461.868,786297.496,788076.874,789815.77,791511.575,793167.242,794779.843,796346.0500000001,797872.36,799360.498,800794.922,802153.7780000001,803420.937,804592.169,805671.015,806658.9300000001,807560.041,808378.058,809114.226,809769.469,810348.081,810855.1629999999,811296.015,811674.282,811994.519,812263.963,812491.063,812683.119
"G-77 (Group of 77)",1612851.971,1648635.261,1682810.032,1716285.368,1749806.939,1783956.896,1819147.057,1855626.201,1893498.281,1932755.384,1973373.396,2015415.433,2059120.977,2104944.841,2153447.945,2204976.317,2259711.989,2317397,2377375.339,2438723.781,2500727.022,2563230.683,2626287.833,2689650.842,2753086.594,2816469.759,2879649.2,2942737.149,3006218.083,3070772.186,3136921.975,3204644,3273822.381,3344884.659,3418230.33,3494053.479,3572598.482,3653477.291,3735461.585,3816887.497,3896543.254,3973952.609,4070490.39,4144550.472,4217858.236,4291018.688,4364135.519,4437028.971,4509705.481,4582121.437,4654272.846,4726195.168,4798012.759,4869910.431,4942116.703,5014801.555,5088030.403,5161787.128,5236052.676,5310772.303,5385890.664,5461389.789,5537241.746,5613356.874,5689622.662,5765933.957,5842225.818,5918432.442,5994444.969,6070142.681,6145418.639,6220206.426,6294445.497,6368046.209,6440916.856,6512984.393,6584186.653,6654499.18,6723936.943,6792540.268,6860334.741,6927309.247,6993431.449,7058683.501,7123043.647,7186493.735,7249019.473,7310613.707,7371272.472,7430996.066,7489780.421,7547618.557,7604496.644,7660395.258,7715291.697,7769167.393,7822011.178,7873817.451,7924579.609,7974293.062,8022953.208
"G8 (Group of Eight)",648532.923,655953.888,664013.74,672529.0060000001,681351.298,690366.971,699499.067,708705.319,717973.863,727314.857,736736.934,746221.722,755701.465,765049.885,774108.7070000001,782767.378,790962.129,798723.276,806152.678,813405.253,820593.459,827758.01,834864.8000000001,841863.0820000001,848672.264,855240.7290000001,861559.621,867672.749,873645.275,879566.384,885504.601,891461.401,897427.624,903444.888,909560.752,915795.6040000001,922180.914,928672.572,935121.4790000001,941325.197,947137.826,952512.7560000001,815959.757,820265.211,824468.432,828596.263,832661.252,836658.579,840580.372,844413.018,848154.295,851793.417,855355.951,858919.463,862586.143,866426.3540000001,870460.9250000001,874660.052,878979.061,883349.151,887711.295,892049.795,896351.745,900562.8860000001,904619.351,908470.345,912096.76,915490.743,918628.973,921490.86,924066.6040000001,926342.085,928331.382,930090.442,931696.618,933209.606,934649.866,936014.157,937309.336,938535.7340000001,939693.564,940793.103,941840.8370000001,942826.726,943734.87,944554.1899999999,945283.485,945928.468,946493.496,946985.228,947409.2240000001,947768.1310000001,948063.081,948297.121,948473.189,948594.539,948664.201,948685.866,948663.845,948602.992,948507.605
"GCC (The Cooperation Council for the Arab States of the Gulf)",3941.065,4030.867,4134.44,4246.599,4363.949,4484.905,4609.782,4740.676,4881.179,5036.001,5209.524,5404.451,5620.479,5853.787,6098.593,6351.588,6612.143,6884.531,7176.803,7499.626,7861.314,8265.424999999999,8711.9,9200.879000000001,9731.245999999999,10302.398,10911.616,11559.907,12254.618,13005.591,13817.55,14690.389,15614.606,16573.399,17544.527,18509.168,19465.252,20409.111,21318.928,22168.675,22941.933,23632.028,24249.759,24818.836,25373.206,25941.208,26537.665,27168.762,27844.758,28574.126,29368.08,30216.163,31131.954,32176.865,33430.463,34940.414,36734.026,38768.988,40936.302,43084.917,45101.978,46947.54,48639.407,50192.761,51644.254,53021.062,54320.669,55529.22,56651.635,57694.359,58664.095,59562.511,60394.925,61175.845,61923.25,62650.443,63365.243,64066.706,64747.962,65397.39,66006.885,66576.00599999999,67109.667,67611.78599999999,68087.97500000001,68542.753,68977.33900000001,69392.01700000001,69789.08,70171.046,70539.677,70896.80800000001,71242.711,71575.727,71893.19,72193.298,72475.651,72741.41099999999,72992.851,73232.946,73463.85799999999
"GSTP (Global System of Trade Preferences among Developing Countries)",940713.661,958721.309,977954.195,998373.8639999999,1019941.562,1042618.754,1066366.072,1091144.633,1116915.415,1143640.502,1171284.826,1199818.553,1229218.768,1259470.293,1290563.364,1322487.278,1355244.156,1388820.131,1423172.245,1458246.635,1494013.69,1530456.944,1567611.69,1605565.692,1644438.96,1684324.225,1725207.596,1767074.549,1810009.551,1854115.552,1899438.904,1945994.997,1993679.024,2042260.636,2091431.802,2140943.822,2190705.732,2240689.247,2290786.608,2340896.25,2390941.903,2440833.065,2492534.241,2542140.93,2591777.537,2641530.192,2691422.569,2741392.04,2791337.57,2841118.632,2890636.205,2939868.087,2988851.809,3036675.628,3085267.939,3133762.12,3182138.393,3230408.871,3278698.652,3327169.553,3375925.756,3425017.772,3464267.419,3513504.44,3562675.948,3611610.35,3660245.117,3708591.562,3756639.586,3804399.912,3851872.11,3899026.268,3945815.797,3992205.783,4038159.032,4083641.886,4128624.866,4173084.878,4217002.396,4260361.532,4303144.199,4345333.016,4386903.06,4427820.294,4468046.525,4507551.099,4546314.196000001,4584328.154,4621590.181,4658104.639,4693873.259,4728887.795,4763139.887,4796631.776,4829368.659,4861352.956,4892582.401,4923050.201,4952748.972,4981669.446000001,5009803.47
"  GSTP: Africa",120082.831,122438.117,124957.045,127625.014,130430.738,133366.257,136426.681,139610.548,142919.075,146355.575,149923.243,153623.122,157451.742,161400.698,165458.643,169618.789,173883.734,178260.53,182752.987,187366.255,192108.492,196977.696,201985.661,207170.405,212581.201,218252.824,224196.766,230402.419,236853.731,243524.338,250391.16,257453.259,264706.089,272117.375,279646.879,287265.735,294948.834,302699.382,310550.953,318554.178,326740.329,335132.122,343703.095,352377.453,361050.818,369653.779,378165.673,386626.593,395104.511,403697.412,412484.038,421491.864,430725.055,440211.711,449977.434,460045.522,470426.305,481135.852,492206.364,503673.972,515559.679,527878.046,530497.227,543348.7830000001,556526.143,569967.763,583657.023,597590.02,611732.052,626045.529,640502.139,655082.409,669782.795,684612.472,699590.603,714731.902,730034.527,745493.597,761118.448,776920.897,792909.392,809084.5010000001,825443.25,841985.228,858709.0550000001,875611.268,892688.167,909932.459,927331.023,944868.034,962528.447,980302.939,998182.335,1016151.884,1034195.559,1052298.846,1070451.011,1088643.06,1106865.26,1125108.644,1143364.673
"  GSTP: Asia",671303.093,682889.688,695395.704,708809.716,723111.811,738274.096,754259.683,771023.665,788514.552,806677.629,825463.738,844838.8490000001,864792.8490000001,885342.649,906522.384,928353.069,950842.446,973968.144,997686.834,1021940.371,1046691.141,1071929.172,1097679.258,1123983.401,1150901.081,1178482.169,1206704.412,1235567.522,1265165.837,1295620.837,1326999.748,1359318.329,1392488.624,1426339.812,1460639.768,1495197.145,1529959.026,1564896.623,1599873.81,1634740.429,1669391.653,1703724.407,1737749.04,1771616.46,1805554.012,1839714.669,1874139.461,1908737.272,1943368.382,1977832.87,2011979.717,2045770.011,2079227.37,2111392.851,2144139.707,2176555.093,2208606.591,2240292.711,2271693.422,2302919.727,2334045.673,2365100.56,2396043.479,2426790.731,2457221.953,2487246.948,2516828.09,2545978.906,2574721.368,2603097.573,2631132.205,2658817.366,2686117.697,2712997.382,2739410.39,2765316.957,2790693.676,2815525.112,2839788.078,2863460.469,2886520.28,2908952.595,2930736.835,2951839.653,2972223.454,2991860.167,3010733.956,3028844.192,3046198.737,3062814.252,3078704.505,3093869.501,3108308.929,3122036.872,3135071.313,3147426.501,3159108.892,3170120.23,3180463.44,3190139.774,3199150.394
"  GSTP: Latin America",149327.737,153393.504,157601.446,161939.134,166399.013,170978.401,175679.708,180510.42,185481.788,190607.298,195897.845,201356.582,206974.177,212726.946,218582.337,224515.42,230517.976,236591.457,242732.424,248940.009,255214.057,261550.076,267946.771,274411.886,280956.678,287589.232,294306.418,301104.608,307989.983,314970.377,322047.996,329223.409,336484.311,343803.449,351145.155,358480.942,365797.872,373093.242,380361.845,387601.643,394809.921,401976.536,409093.447,416162.993,423190.994,430178.485,437127.994,444028.587,450852.625,457563.957,464137.627,470563.368,476850.455,483017.64,489093.755,495101.225,501042.365,506914.9,512731.557,518506.824,524249.667,529966.682,535652.438,541288.861,546850.072,552316.304,557679.258,562940.64,568103.21,573173.352,578154.3860000001,583043.8320000001,587834.0010000001,592516.592,597081.219,601519.219,605826.3860000001,609999.9520000001,614034.2560000001,617923.708,621663.785,625251.447,628685.293,631965.046,635091.45,638065.374,640886.5,643555.076,646073.512,648445.281,650673.341,652758.737,654702.572,656507.726,658177.389,659714.235,661120.246,662395.872,663540.559,664552.735,665431.628
"IGAD (Intergovernmental Authority on Development)",40727.496,41609.017,42520.994,43464.168,44440.609,45453.634,46508.061,47609.964,48766.478,49985.197,51272.861,52633.74,54068.256,55572.397,57139.428,58764.737,60448.482,62193.664,64001.553,65873.977,67812.96400000001,69819.82799999999,71896.39900000001,74045.568,76270.92600000001,78575.79700000001,80963.08100000001,83435.155,85994.533,88643.50500000001,91384.829,94217.823,97145.26,100176.885,103325.082,106597.689,110000.149,113527.366,117163.692,120886.934,124681.176,128544.07,132481.051,136494.307,140588.27,144768.444,149032.912,153386.232,157848.419,162445.553,167196.179,172110.292,177183.449,182402.114,187745.277,193197.999,198755.617,204424.493,210214.06,216138.285,222206.713,228419.285,234770.307,241256.343,247872.118,254611.864,261475.428,268457.991,275543.413,282711.212,289946.529,297239.348,304591.481,312014.057,319524.866,327135.362,334846.012,342647.264,350528.351,358474.323,366472.652,374518.047,382607.429,390732.834,398885.826,407059.191,415246.62,423444.236,431650.475,439865.205,448087.423,456313.736,464539.338,472759.787,480970.266,489166.425,497344.024,505499.891,513631.334,521736.134,529811.509
"LAIA (Latin American Integration Association)",147840.216,151865.369,156025.352,160309.23,164710.934,169229.116,173867.495,178634.679,183542.988,188606.85,193837.932,199239.842,204803.476,210505.071,216311.735,222198.113,228156.114,234186.884,240285.541,246449.278,252676.533,258962.387,265305.778,271714.48,278199.992,284770.734,291423.635,298155.298,304972.861,311885.374,318896.069,326005.515,333201.662,340458.577,347742.207,355025.064,362295.41,369549.846,376780.081,383979.67,391143.005,398258.496,405319.601,412332.335,419307.678,426250.469,433164.366,440037.023,446838.824,453530.51,460084.773,466490.809,472758.327,478905.875,484962.329,490950.102,496871.394,502723.578,508519.061,514271.862,519990.726,525681.917,531340.341,536948.857,542482.941,547923.795,553263.4350000001,558503.2830000001,563645.728,568696.545,573658.5500000001,578529.333,583301.236,587965.498,592511.132,596929.064,601214.873,605366.054,609377.638,613245.054,616964.518,620533.258,623949.745,627213.551,630325.123,633285.155,636093.341,638750.085,641257.78,643619.963,645839.556,647917.6850000001,649855.416,651655.714,653321.8810000001,654856.629,656261.978,657538.369,658685.232,659700.961,660584.7830000001
"LAS (League of Arab States)",74875.832,76608.14,78426.351,80330.94100000001,82322.277,84400.787,86566.75599999999,88820.414,91162.023,93591.682,96109.75,98716.901,101414.056,104202.651,107084.42,110060.963,113142.951,116333.479,119618.811,122979.137,126406.269,129886.937,133442.611,137141.452,141074.923,145305.997,149858.688,154706.508,159799.237,165061.388,170434.091,175899.646,181462.185,187110.047,192835.565,198630.609,204484.288,210384.515,216321.333,222285.372,228269.188,234274.005,240298.322,246330.336,252355.779,258369.391,264377.398,270399.308,276461.766,282599.13,288845.393,295192.068,301658.215,308336.433,315344.894,322759.267,330616.258,338867.859,347397.582,356040.022,364667.94,373254.209,371699.216,379953.29,388155.071,396287.369,404311.448,412235.252,420145.88,428166.389,436378.875,444817.79,453437.121,462139.856,470786.997,479277.188,487580.509,495723.862,503731.414,511648.07,519509.199,527314.466,535056.637,542758.02,550446.067,558140.487,565849.953,573571.1800000001,581296.0500000001,589010.382,596702.1530000001,604368.745,612009.188,619614.068,627172.578,634675.215,642116.069,649490.825,656793.877,664020.108,671164.643
